dataset,arithmetic,variant,query_profile,template_id,template_name,constraint_name,runs,median_ms,mean_ms,max_memory_mb
telecom,LRA,mid,complex,11,regular11,D3,100,2.365114,21.678638,579.210938
telecom,LRA,mid,complex,12,regular12,D1,100,3.546140,3188.519771,929.441406
telecom,LRA,mid,complex,12,regular12,D2,100,10.396614,1706.457153,773.367188
telecom,LRA,mid,complex,12,regular12,D3,100,2.223770,1995.609883,870.609375
telecom,LRA,heavy,complex,1,regular01,D1,100,6.244603,346.328484,646.960938
telecom,LRA,heavy,complex,1,regular01,D2,100,8.262719,1094.718795,747.371094
telecom,LRA,heavy,complex,1,regular01,D3,100,3.756067,22.760490,580.109375
telecom,LRA,heavy,complex,2,regular02,D1,100,2.307116,366.560939,643.929688
telecom,LRA,heavy,complex,2,regular02,D2,100,12.800994,1155.303963,764.722656
telecom,LRA,heavy,complex,2,regular02,D3,100,5.755356,23.979412,577.992188
telecom,LRA,heavy,complex,3,regular03,D1,100,4.714477,17.411752,611.488281
telecom,LRA,heavy,complex,3,regular03,D2,100,2.392136,16.144349,540.933594
telecom,LRA,heavy,complex,3,regular03,D3,100,4.730193,17.267532,610.339844
telecom,LRA,heavy,complex,4,regular04,D1,100,13.561559,3454.145600,962.488281
telecom,LRA,heavy,complex,4,regular04,D2,100,2.018958,1262.360114,741.648438
telecom,LRA,heavy,complex,4,regular04,D3,100,4.529046,2068.823604,897.609375
telecom,LRA,heavy,complex,5,regular05,D1,100,21.328035,436.067523,665.066406
telecom,LRA,heavy,complex,5,regular05,D2,100,2.556414,890.300947,752.652344
telecom,LRA,heavy,complex,5,regular05,D3,100,4.030717,23.452405,580.164062
telecom,LRA,heavy,complex,6,regular06,D1,100,7.738355,415.257053,652.320312
telecom,LRA,heavy,complex,6,regular06,D2,100,7.311030,1001.155255,771.320312
telecom,LRA,heavy,complex,6,regular06,D3,100,2.279799,20.826633,571.226562
telecom,LRA,heavy,complex,7,regular07,D1,100,14.198532,420.723066,662.464844
telecom,LRA,heavy,complex,7,regular07,D2,100,7.323742,1088.513727,767.878906
telecom,LRA,heavy,complex,7,regular07,D3,100,3.136513,22.724815,572.351562
telecom,LRA,heavy,complex,8,regular08,D1,100,3.725188,2427.714958,908.070312
telecom,LRA,heavy,complex,8,regular08,D2,100,2.331949,1244.318177,752.320312
telecom,LRA,heavy,complex,8,regular08,D3,100,1451.293572,1593.327380,828.613281
telecom,LRA,heavy,complex,9,regular09,D1,100,4.774383,324.720389,653.792969
telecom,LRA,heavy,complex,9,regular09,D2,100,11.245736,944.642354,764.324219
telecom,LRA,heavy,complex,9,regular09,D3,100,4.869583,24.900691,579.480469
telecom,LRA,heavy,complex,10,regular10,D1,100,4.762213,294.515080,642.910156
telecom,LRA,heavy,complex,10,regular10,D2,100,5.822183,794.149014,763.617188
telecom,LRA,heavy,complex,10,regular10,D3,100,2.429624,20.105119,578.613281
telecom,LRA,heavy,complex,11,regular11,D1,100,20.029882,395.099779,677.992188
telecom,LRA,heavy,complex,11,regular11,D2,100,2.419494,817.225604,759.300781
telecom,LRA,heavy,complex,11,regular11,D3,100,4.462768,21.757988,579.644531
telecom,LRA,heavy,complex,12,regular12,D1,100,2.534919,2308.446333,893.382812
telecom,LRA,heavy,complex,12,regular12,D2,100,2.287924,1076.212898,751.683594
telecom,LRA,heavy,complex,12,regular12,D3,100,2.243245,1878.188687,895.347656
telecom,LIA,light,complex,1,regular01,D4,100,30.277653,540.482652,511.066406
telecom,LIA,light,complex,1,regular01,D5,100,18.953257,240.080194,484.054688
telecom,LIA,light,complex,1,regular01,D6,100,16.149408,40.997136,477.457031
telecom,LIA,light,complex,2,regular02,D4,100,67.474014,403.630527,506.062500
telecom,LIA,light,complex,2,regular02,D5,100,14.291829,120.086867,474.109375
telecom,LIA,light,complex,2,regular02,D6,100,15.717479,37.985452,460.753906
telecom,LIA,light,complex,3,regular03,D4,100,15.028414,4039.798133,759.972656
telecom,LIA,light,complex,3,regular03,D5,100,16.352284,4259.327997,810.832031
telecom,LIA,light,complex,3,regular03,D6,100,16.658908,3930.130987,786.316406
telecom,LIA,light,complex,4,regular04,D4,100,15.007269,4199.270247,817.214844
telecom,LIA,light,complex,4,regular04,D5,100,14.239915,2955.320809,744.031250
telecom,LIA,light,complex,4,regular04,D6,100,37.728797,2451.478652,681.480469
telecom,LIA,light,complex,5,regular05,D4,100,15.149697,203.980969,501.867188
telecom,LIA,light,complex,5,regular05,D5,100,13.107520,86.369672,483.468750
telecom,LIA,light,complex,5,regular05,D6,100,15.017727,30.541759,477.058594
telecom,LIA,light,complex,6,regular06,D4,100,11.311864,287.759674,514.871094
telecom,LIA,light,complex,6,regular06,D5,100,10.294527,65.631799,473.023438
telecom,LIA,light,complex,6,regular06,D6,100,15.161601,29.372725,476.445312
telecom,LIA,light,complex,7,regular07,D4,100,4.600803,164.470195,490.109375
telecom,LIA,light,complex,7,regular07,D5,100,16.718852,99.355660,486.644531
telecom,LIA,light,complex,7,regular07,D6,100,15.516596,41.351462,476.886719
telecom,LIA,light,complex,8,regular08,D4,100,12.901173,3740.773375,813.050781
telecom,LIA,light,complex,8,regular08,D5,100,4.419092,2306.914916,724.722656
telecom,LIA,light,complex,8,regular08,D6,100,4.763367,1715.858242,646.339844
telecom,LIA,light,complex,9,regular09,D4,100,5.223308,170.409843,500.628906
telecom,LIA,light,complex,9,regular09,D5,100,6.642576,90.956198,486.500000
telecom,LIA,light,complex,9,regular09,D6,100,4.364436,27.329067,476.011719
telecom,LIA,light,complex,10,regular10,D4,100,4.382477,191.497453,502.867188
telecom,LIA,light,complex,10,regular10,D5,100,12.685500,89.831377,486.281250
telecom,LIA,light,complex,10,regular10,D6,100,13.872034,28.921940,477.878906
telecom,LIA,light,complex,11,regular11,D4,100,4.738382,262.904979,514.535156
telecom,LIA,light,complex,11,regular11,D5,100,2.580210,57.966136,472.734375
telecom,LIA,light,complex,11,regular11,D6,100,18.110889,31.164072,476.890625
telecom,LIA,light,complex,12,regular12,D4,100,2.520112,3819.801224,817.617188
telecom,LIA,light,complex,12,regular12,D5,100,4.503476,3159.050871,800.593750
telecom,LIA,light,complex,12,regular12,D6,100,2.242214,1536.863042,638.550781
telecom,LIA,mid,complex,1,regular01,D4,100,3.470573,161.088247,496.500000
telecom,LIA,mid,complex,1,regular01,D5,100,3.456828,73.616028,479.937500
telecom,LIA,mid,complex,1,regular01,D6,100,3.433924,26.524837,469.679688
telecom,LIA,mid,complex,2,regular02,D4,100,3.650768,259.610611,511.011719
telecom,LIA,mid,complex,2,regular02,D5,100,3.247769,86.946341,481.144531
telecom,LIA,mid,complex,2,regular02,D6,100,17.945669,35.800683,469.472656
telecom,LIA,mid,complex,3,regular03,D4,100,22.970867,106.700974,498.925781
telecom,LIA,mid,complex,3,regular03,D5,100,3.511659,56.326486,491.812500
telecom,LIA,mid,complex,3,regular03,D6,100,3.482064,36.806538,503.363281
telecom,LIA,mid,complex,4,regular04,D4,100,3.355939,3571.219955,810.535156
telecom,LIA,mid,complex,4,regular04,D5,100,3.615979,3529.545034,814.457031
telecom,LIA,mid,complex,4,regular04,D6,100,3.437524,1768.498203,655.789062
telecom,LIA,mid,complex,5,regular05,D4,100,3.472626,151.712522,501.652344
telecom,LIA,mid,complex,5,regular05,D5,100,3.553021,109.767536,487.058594
telecom,LIA,mid,complex,5,regular05,D6,100,3.598547,25.679018,469.566406
telecom,LIA,mid,complex,6,regular06,D4,100,3.351747,144.424499,492.738281
telecom,LIA,mid,complex,6,regular06,D5,100,3.374747,56.623901,474.425781
telecom,LIA,mid,complex,6,regular06,D6,100,3.407351,22.391355,468.757812
telecom,LIA,mid,complex,7,regular07,D4,100,3.393387,161.088487,496.179688
telecom,LIA,mid,complex,7,regular07,D5,100,28.892238,71.100484,484.777344
telecom,LIA,mid,complex,7,regular07,D6,100,3.483327,28.074372,469.593750
telecom,LIA,mid,complex,8,regular08,D4,100,61.830340,2754.504687,763.031250
telecom,LIA,mid,complex,8,regular08,D5,100,3.598778,1838.270569,684.910156
telecom,LIA,mid,complex,8,regular08,D6,100,12.712769,1890.771746,670.812500
telecom,LIA,mid,complex,9,regular09,D4,100,4.247248,189.995890,502.601562
telecom,LIA,mid,complex,9,regular09,D5,100,3.417719,62.231511,478.015625
telecom,LIA,mid,complex,9,regular09,D6,100,7.076322,27.719085,469.808594
telecom,LIA,mid,complex,10,regular10,D4,100,4.856917,147.578811,494.558594
telecom,LIA,mid,complex,10,regular10,D5,100,3.675263,82.514255,482.972656
telecom,LIA,mid,complex,10,regular10,D6,100,3.419768,25.135122,469.468750
telecom,LIA,mid,complex,11,regular11,D4,100,3.428374,186.491767,502.597656
telecom,LIA,mid,complex,11,regular11,D5,100,3.833768,62.289289,476.707031
telecom,LIA,mid,complex,11,regular11,D6,100,3.397393,22.734460,469.058594
telecom,LIA,mid,complex,12,regular12,D4,100,3.582089,4247.195503,866.996094
telecom,LIA,mid,complex,12,regular12,D5,100,3.398599,2660.718130,768.605469
telecom,LIA,mid,complex,12,regular12,D6,100,3.539084,1562.180443,656.050781
telecom,LIA,heavy,complex,1,regular01,D4,100,3.991404,176.400539,512.828125
telecom,LIA,heavy,complex,1,regular01,D5,100,3.816179,99.506936,486.121094
telecom,LIA,heavy,complex,1,regular01,D6,100,3.711399,22.486173,476.359375
telecom,LIA,heavy,complex,2,regular02,D4,100,3.451394,148.185126,503.839844
telecom,LIA,heavy,complex,2,regular02,D5,100,3.462344,126.324615,493.562500
telecom,LIA,heavy,complex,2,regular02,D6,100,3.417054,23.550015,469.042969
telecom,LIA,heavy,complex,3,regular03,D4,100,3.555104,19.370082,495.566406
telecom,LIA,heavy,complex,3,regular03,D5,100,3.529224,17.311813,498.527344
telecom,LIA,heavy,complex,3,regular03,D6,100,3.385589,15.378696,499.910156
telecom,LIA,heavy,complex,4,regular04,D4,100,3.420554,3559.124131,832.871094
telecom,LIA,heavy,complex,4,regular04,D5,100,3.395449,3202.707451,814.937500
telecom,LIA,heavy,complex,4,regular04,D6,100,14.812532,1692.271403,667.476562
telecom,LIA,heavy,complex,5,regular05,D4,100,9.042063,201.094006,508.261719
telecom,LIA,heavy,complex,5,regular05,D5,100,3.384889,175.371286,503.636719
telecom,LIA,heavy,complex,5,regular05,D6,100,7.440798,25.126221,469.925781
telecom,LIA,heavy,complex,6,regular06,D4,100,3.497804,130.746148,495.148438
telecom,LIA,heavy,complex,6,regular06,D5,100,3.401965,73.504610,489.250000
telecom,LIA,heavy,complex,6,regular06,D6,100,3.532714,24.694348,469.203125
telecom,LIA,heavy,complex,7,regular07,D4,100,17.698390,186.942527,507.195312
telecom,LIA,heavy,complex,7,regular07,D5,100,16.198242,70.930824,480.968750
telecom,LIA,heavy,complex,7,regular07,D6,100,16.807511,27.962283,470.496094
telecom,LIA,heavy,complex,8,regular08,D4,100,3.382064,1222.143290,650.664062
