dataset,arithmetic,variant,query_profile,template_id,template_name,constraint_name,runs,median_ms,mean_ms,max_memory_mb
icij-leak,LRA,mid,complex,11,regular11,D1,100,12.789722,14.545780,450.378906
icij-leak,LRA,mid,complex,11,regular11,D2,100,12.328912,13.565354,449.375000
icij-leak,LRA,mid,complex,11,regular11,D3,100,11.782157,13.974670,450.285156
icij-leak,LRA,mid,complex,12,regular12,D1,100,13.376767,15.110661,443.296875
icij-leak,LRA,mid,complex,12,regular12,D2,100,13.053557,14.077038,449.472656
icij-leak,LRA,mid,complex,12,regular12,D3,100,13.516141,15.441943,449.820312
icij-leak,LRA,heavy,complex,1,regular01,D1,100,13.618711,14.831901,451.554688
icij-leak,LRA,heavy,complex,1,regular01,D2,100,12.134717,14.951981,381.265625
icij-leak,LRA,heavy,complex,1,regular01,D3,100,14.216521,15.479322,441.621094
icij-leak,LRA,heavy,complex,2,regular02,D1,100,11.337092,14.461061,451.335938
icij-leak,LRA,heavy,complex,2,regular02,D2,100,11.527947,14.533503,379.925781
icij-leak,LRA,heavy,complex,2,regular02,D3,100,14.503961,15.950147,442.058594
icij-leak,LRA,heavy,complex,3,regular03,D1,100,14.056047,15.792243,444.023438
icij-leak,LRA,heavy,complex,3,regular03,D2,100,11.199927,12.037930,380.527344
icij-leak,LRA,heavy,complex,3,regular03,D3,100,12.892772,14.196133,449.507812
icij-leak,LRA,heavy,complex,4,regular04,D1,100,14.511687,16.053350,451.710938
icij-leak,LRA,heavy,complex,4,regular04,D2,100,10.389132,13.509067,380.699219
icij-leak,LRA,heavy,complex,4,regular04,D3,100,12.473337,13.583236,442.656250
icij-leak,LRA,heavy,complex,5,regular05,D1,100,13.546292,14.924736,444.011719
icij-leak,LRA,heavy,complex,5,regular05,D2,100,11.571762,14.241502,381.273438
icij-leak,LRA,heavy,complex,5,regular05,D3,100,12.520677,13.894072,449.644531
icij-leak,LRA,heavy,complex,6,regular06,D1,100,12.680611,14.426494,450.398438
icij-leak,LRA,heavy,complex,6,regular06,D2,100,11.727592,12.332254,379.945312
icij-leak,LRA,heavy,complex,6,regular06,D3,100,12.569342,14.575436,442.531250
icij-leak,LRA,heavy,complex,7,regular07,D1,100,14.830866,15.895228,451.253906
icij-leak,LRA,heavy,complex,7,regular07,D2,100,12.489626,13.975351,381.199219
icij-leak,LRA,heavy,complex,7,regular07,D3,100,13.180812,13.833433,450.468750
icij-leak,LRA,heavy,complex,8,regular08,D1,100,14.061432,15.466444,444.265625
icij-leak,LRA,heavy,complex,8,regular08,D2,100,13.016611,14.838983,380.519531
icij-leak,LRA,heavy,complex,8,regular08,D3,100,12.484922,13.971039,442.902344
icij-leak,LRA,heavy,complex,9,regular09,D1,100,12.847827,14.537799,451.652344
icij-leak,LRA,heavy,complex,9,regular09,D2,100,11.195872,12.263868,381.207031
icij-leak,LRA,heavy,complex,9,regular09,D3,100,11.717022,13.020287,443.074219
icij-leak,LRA,heavy,complex,10,regular10,D1,100,13.039267,15.099400,436.066406
icij-leak,LRA,heavy,complex,10,regular10,D2,100,10.988607,12.753692,381.015625
icij-leak,LRA,heavy,complex,10,regular10,D3,100,12.621077,13.816121,442.636719
icij-leak,LRA,heavy,complex,11,regular11,D1,100,12.114376,14.984872,443.042969
icij-leak,LRA,heavy,complex,11,regular11,D2,100,10.344407,12.344593,380.484375
icij-leak,LRA,heavy,complex,11,regular11,D3,100,12.575242,13.760689,442.601562
icij-leak,LRA,heavy,complex,12,regular12,D1,100,14.132851,15.848209,442.761719
icij-leak,LRA,heavy,complex,12,regular12,D2,100,11.794486,12.755509,380.667969
icij-leak,LRA,heavy,complex,12,regular12,D3,100,12.233212,14.129993,450.738281
icij-leak,LIA,light,complex,1,regular01,D4,100,18.458620,34.929977,383.488281
icij-leak,LIA,light,complex,1,regular01,D5,100,30.476677,38.618242,379.187500
