dataset,category,subcategory,avg_top_25_runtime,median_top_25_runtime,V_plus_E,E_over_V,V,E,n_points
ICIJ-Leak,combined,medium_regular_complex_data,5.0438073125,5.006015124999999,5100000,1.6842105263157894,1900000,3200000,12
ICIJ-Leak,combined,complex_regular_simple_data,5.435703,5.601669875,5100000,1.6842105263157894,1900000,3200000,6
ICIJ-Leak,combined,complex_regular_complex_data,5.232639527777778,5.08332625,5100000,1.6842105263157894,1900000,3200000,9
ICIJ-Paradise,simple_data,all,6.13929565625,6.251457875,527000,2.233128834355828,163000,364000,24
ICIJ-Paradise,complex_data,all,5.991394277777777,6.251015875,527000,2.233128834355828,163000,364000,36
ICIJ-Paradise,regular_query,simple_regular,5.70477586,5.4702475,527000,2.233128834355828,163000,364000,25
ICIJ-Paradise,regular_query,medium_regular,6.168869762499999,6.503192374999999,527000,2.233128834355828,163000,364000,20
ICIJ-Paradise,regular_query,complex_regular,6.469099866666667,6.70662175,527000,2.233128834355828,163000,364000,15
ICIJ-Paradise,combined,simple_regular_simple_data,5.850626425,5.87342725,527000,2.233128834355828,163000,364000,10
ICIJ-Paradise,combined,simple_regular_complex_data,5.6075421500000004,5.3647860000000005,527000,2.233128834355828,163000,364000,15
ICIJ-Paradise,combined,medium_regular_simple_data,6.07399090625,6.058862124999999,527000,2.233128834355828,163000,364000,8
ICIJ-Paradise,combined,medium_regular_complex_data,6.232122333333334,6.7497799999999994,527000,2.233128834355828,163000,364000,12
ICIJ-Paradise,combined,complex_regular_simple_data,6.7074840416666675,6.687513375,527000,2.233128834355828,163000,364000,6
ICIJ-Paradise,combined,complex_regular_complex_data,6.310177083333333,6.72645625,527000,2.233128834355828,163000,364000,9
